Account_Length,International_Plan,VMail_Plan,Day_Charge,Eve_Charge,Night_Charge,International_Charge,CustServ_Calls,Churn,CHURN-FLAG
0.6225490196078431,0.0,1.0,0.78989898989899,0.4898224339540927,0.5959354453078303,0.4746666666666667,0.1111111111111111,0,0
0.5196078431372549,0.0,1.0,0.4343434343434343,0.4828930272845387,0.6222355050806934,0.7413333333333334,0.1111111111111111,0,0
0.6666666666666666,0.0,0.0,0.7153535353535355,0.2091814638371589,0.3753735803945009,0.6319999999999999,0.0,0,0
0.4068627450980392,1.0,0.0,0.9076767676767676,0.5023819835426592,0.4674237895995218,0.2293333333333333,0.2222222222222222,0,0
0.3627450980392157,1.0,0.0,0.4519191919191919,0.3092247726288436,0.4405260011954572,0.4826666666666666,0.3333333333333333,0,0
0.5735294117647058,1.0,0.0,0.6466666666666667,0.5751407535729753,0.4865511057979677,0.2079999999999999,0.0,0,0
0.5882352941176471,0.0,1.0,0.6286868686868688,0.5023819835426592,0.5098625224148237,0.2959999999999999,0.3333333333333333,0,0
0.7156862745098039,1.0,0.0,0.4185858585858586,0.1424859246427024,0.5074716078900179,0.2666666666666666,0.0,0,0
0.5686274509803921,0.0,0.0,0.5131313131313132,0.5023819835426592,0.5182307232516438,0.3813333333333333,0.1111111111111111,0,0
0.6862745098039216,1.0,1.0,0.7674747474747475,0.5803378085751407,0.8158995815899581,0.56,0.0,0,0
0.3137254901960784,0.0,0.0,0.3228282828282828,0.6041576440017324,0.4997011356843993,0.6693333333333333,0.4444444444444444,1,1
0.3578431372549019,0.0,0.0,0.5240404040404041,0.364660025985275,0.4650328750747161,0.4106666666666667,0.0,0,0
0.8186274509803921,0.0,0.0,0.3218181818181818,0.1494153313122563,0.3173939031679617,0.56,0.1111111111111111,0,0
0.4607843137254902,0.0,0.0,0.4171717171717172,0.674750974447813,0.4548714883442917,0.6399999999999999,0.3333333333333333,0,0
0.2990196078431372,0.0,0.0,0.2939393939393939,0.8938934603724557,0.484160191273162,0.6986666666666665,0.4444444444444444,0,0
0.7843137254901961,0.0,0.0,0.4975757575757576,0.9328713728886964,0.369994022713688,0.1439999999999999,0.4444444444444444,1,1
0.411764705882353,0.0,1.0,0.553939393939394,0.7973148549155479,0.1781231320980274,0.7493333333333334,0.1111111111111111,0,0
0.4509803921568627,0.0,0.0,0.5343434343434345,0.566478995236033,0.2863120143454871,0.3386666666666666,0.3333333333333333,0,0
0.3676470588235294,0.0,1.0,0.530909090909091,0.5465569510610654,0.3837417812313209,0.4746666666666667,0.1111111111111111,0,0
0.3529411764705882,0.0,0.0,0.6501010101010102,0.3503681247293201,0.456664674237896,0.6906666666666665,0.1111111111111111,0,0
0.7156862745098039,0.0,0.0,0.4121212121212122,0.6453009961022088,0.4997011356843993,0.5173333333333332,0.0,0,0
0.3725490196078431,0.0,0.0,0.0937373737373737,0.3884798614118665,0.5014943215780036,0.1653333333333333,0.5555555555555556,1,1
0.6323529411764706,0.0,0.0,0.5078787878787879,0.0316154179298397,0.4267782426778242,0.4399999999999999,0.0,0,0
0.5392156862745098,0.0,0.0,0.2585858585858586,0.2685145084452144,0.4476987447698745,0.3093333333333333,0.2222222222222222,0,0
0.6421568627450981,0.0,0.0,0.157979797979798,0.6656561281940233,0.5756126718469815,0.4959999999999999,0.0,0,0
0.8480392156862745,0.0,0.0,0.3062626262626263,0.7830229536595928,0.6120741183502689,0.8720000000000001,0.3333333333333333,0,0
0.2745098039215686,0.0,1.0,0.610909090909091,0.4664356864443481,0.42916915720263,0.4399999999999999,0.0,0,0
0.2598039215686274,0.0,0.0,0.3406060606060606,0.335643135556518,0.2121936640765092,0.8133333333333332,0.3333333333333333,0,0
0.0931372549019607,0.0,0.0,0.5319191919191919,0.7137288869640537,0.4261805140466228,0.2079999999999999,0.0,0,0
0.2352941176470588,0.0,0.0,0.2890909090909092,0.5547856214811607,0.4184100418410041,0.5546666666666666,0.1111111111111111,0,0
0.6911764705882353,0.0,0.0,0.1707070707070707,0.2663490688609787,0.6114763897190675,0.776,0.2222222222222222,0,0
0.3627450980392157,0.0,0.0,0.655959595959596,0.5049805110437419,0.6001195457262403,0.4959999999999999,0.1111111111111111,0,0
0.8382352941176471,0.0,0.0,0.6074747474747475,0.5023819835426592,0.7268380155409444,0.6613333333333333,0.3333333333333333,0,0
0.0539215686274509,0.0,0.0,0.7365656565656566,0.6920744911216976,0.6915720263000598,0.6053333333333333,0.1111111111111111,1,1
0.2745098039215686,0.0,1.0,0.4866666666666667,0.4811606756171501,0.5122534369396293,0.352,0.0,0,0
0.3480392156862745,0.0,1.0,0.6349494949494949,0.5630142919012558,0.3490735206216377,0.8133333333333332,0.3333333333333333,0,0
0.1715686274509803,0.0,1.0,0.3818181818181818,0.361195322650498,0.2857142857142857,0.7999999999999998,0.0,0,0
